cell_type	cell_size	epochs	embedding_size	train_loss	test_loss
GRU	128.0	2.0	18.0	1.0927472114562988	0.5628593564033508
GRU	512.0	2.0	5.0	1.032751202583313	0.5307777523994446
GRU	256.0	2.0	23.0	0.9234226942062378	0.4131718575954437
GRU	512.0	2.0	16.0	0.9821902513504028	0.4166162014007568
LSTM	256.0	2.0	23.0	1.158096432685852	0.7673829197883606
LSTM	128.0	2.0	22.0	1.0017533302307131	0.6464117765426636
LSTM	64.0	2.0	25.0	1.1612827777862549	0.7556579709053041
GRU	64.0	2.0	20.0	1.2066700458526611	0.7094196677207947
LSTM	32.0	2.0	23.0	1.200730800628662	0.823968768119812
LSTM	32.0	2.0	23.0	0.9357907772064208	0.5572234988212585
GRU	64.0	2.0	15.0	0.6379929780960083	0.3254709541797638
LSTM	32.0	2.0	5.0	1.2082926034927368	0.9365584254264832
LSTM	128.0	2.0	25.0	1.0783097743988037	0.5945438742637634
GRU	32.0	2.0	21.0	0.9515802264213562	0.5811376571655273
LSTM	128.0	2.0	21.0	1.198562741279602	0.8236199617385864
LSTM	128.0	2.0	3.0	1.1584019660949707	0.8460040092468262
GRU	32.0	2.0	13.0	0.9394667148590088	0.5432072877883911
GRU	128.0	2.0	23.0	0.8439770936965942	0.7218402028083801
LSTM	256.0	2.0	22.0	1.0545923709869385	0.639293909072876
GRU	64.0	2.0	14.0	1.0149729251861572	0.5301212668418884
GRU	16.0	2.0	22.0	1.0149545669555664	0.7933337092399597
GRU	256.0	2.0	17.0	1.0619854927062988	0.5754344463348389
LSTM	64.0	2.0	5.0	1.1468242406845093	0.8606011867523193
LSTM	32.0	2.0	6.0	1.128259301185608	1.0969586372375488
LSTM	64.0	2.0	7.0	1.0058629512786863	0.6748234629631042
GRU	32.0	2.0	26.0	0.8868580460548401	0.6225566864013672
GRU	512.0	2.0	14.0	0.7763361930847168	0.3239083588123321
LSTM	32.0	2.0	7.0	1.1159555912017822	0.768635094165802
GRU	16.0	2.0	3.0	0.9596062302589417	0.663378894329071
GRU	512.0	2.0	9.0	0.9512572884559632	0.467630535364151
LSTM	64.0	2.0	10.0	0.9515873193740844	0.6352015733718872
LSTM	64.0	2.0	9.0	1.1454309225082395	0.7114917039871216
LSTM	512.0	2.0	8.0	1.1362881660461426	0.7623858451843262
GRU	16.0	2.0	9.0	1.1482319831848145	0.6879852414131165
LSTM	128.0	2.0	12.0	1.291364312171936	0.9159528017044068
GRU	16.0	2.0	13.0	1.6148525476455688	1.125284194946289
LSTM	32.0	2.0	28.0	0.982926905155182	0.7196982502937317
GRU	128.0	2.0	19.0	1.0518304109573364	0.5160799622535706
GRU	32.0	2.0	27.0	0.8561457395553589	0.5233384370803833
LSTM	64.0	2.0	24.0	1.0008578300476074	0.6566746830940247
LSTM	512.0	2.0	29.0	1.091658353805542	0.6789373755455017
LSTM	64.0	2.0	24.0	0.9432442784309388	0.6078264117240906
LSTM	32.0	2.0	4.0	1.2444237470626829	0.9797959327697754
GRU	512.0	2.0	25.0	0.7830463647842407	0.2975747287273407
LSTM	16.0	2.0	14.0	1.0847232341766355	0.8149852156639099
LSTM	32.0	2.0	15.0	1.0640718936920166	0.789817214012146
LSTM	128.0	2.0	9.0	1.1955589056015017	0.8673641681671143
GRU	32.0	2.0	4.0	0.8688395023345947	0.5589974522590637
GRU	16.0	2.0	12.0	1.0304960012435913	0.8056643605232239
GRU	16.0	2.0	19.0	1.4803467988967896	0.7430379986763
LSTM	16.0	2.0	22.0	1.3353608846664429	1.053349494934082
LSTM	16.0	2.0	4.0	1.2683712244033811	1.0922813415527344
